 11 2019.731534 7.860E-26 4.720E-02.05620.338 2105.86660.440.012920          0 1 0          0 0 0 12  6  6       12  3  9      564426445984672224    25.0   25.0
 11 2019.921030 5.384E-25 2.825E-02.06260.373 1813.22260.470.007860          0 1 0          0 0 0 11  6  5       11  3  8      574626305984162224    69.0   69.0
 11 2019.964596 7.220E-25 4.677E+00.05450.337 2764.69730.57-.007889          0 2 0          0 1 0  9  5  4        8  4  5      567621445910162245    57.0   51.0
 11 2020.482257 2.171E-27 8.890E-01.10100.456 3237.91730.72-.007364          1 1 0          0 2 0  1  0  1        2  1  2      3742234433257122 7    81.0   75.0
 11 2020.534760 3.807E-24 1.497E-03.07210.339  744.16270.820.005190          0 1 0          0 0 0  8  4  5        8  1  8      585320305967662423    51.0   51.0
 11 2020.567214 2.192E-29 2.931E+00.02560.371 4759.85350.63-.004235          0 1 1          0 0 1  7  7  1        6  6  0      4442334432297122 9    81.0   75.0
 11 2020.668640 1.386E-26 2.125E-02.07670.376 2129.61850.69-.003939          1 0 0          0 1 0  5  3  3        4  4  0      574426303384672224    81.0   75.0
 11 2020.791648 2.194E-29 5.670E-01.00750.161 4412.31490.310.000000          0 0 0          0 0 0 21  8 14       20  1 19      3442334432327122 0    81.0   75.0
 11 2021.193626 5.338E-27 8.927E-03.08680.453 2211.19050.63-.004519          1 0 0          0 1 0  7  1  7        6  2  4      474426443384672224    81.0   75.0
 11 2021.205483 8.144E-27 9.088E-01.04140.259 3101.14200.57-.005109          0 0 1          0 1 0  8  6  3        8  6  2      474426443384672224    81.0   75.0
 11 2021.269319 2.443E-26 9.087E-01.04150.260 3101.12340.57-.004889          0 0 1          0 1 0  8  6  2        8  6  3      474426443384672224    81.0   75.0
 11 2021.676435 3.239E-27 3.755E-02.07870.315 2904.67010.55-.009876          1 0 0          0 1 0 10  2  9        9  3  6      4742234433287122 8    81.0   75.0
 11 2022.044216 6.328E-27 1.269E-05.06190.271 1079.07920.550.005460          0 1 0          0 0 0  8  6  3        9  1  8      574426443384672224    81.0   75.0
 11 2022.086120 7.272E-25 1.109E+00.11020.488 1634.96710.73-.006309          1 0 0          0 1 0  0  0  0        1  1  1      587726305910162224     1.0    3.0
 11 2022.540931 1.143E-27 3.005E-06.07280.333  882.89030.570.002174          0 1 0          0 0 0  7  6  2        8  1  7      574223443328712210    81.0   75.0
 11 2022.942440 9.550E-26 2.446E+00.06410.378 2841.43030.550.011410          0 2 0          0 1 0 10  4  6        9  3  7      454426445984672224    21.0   19.0
 11 2022.988320 7.475E-26 2.551E-02.09040.451 2004.81540.69-.010369          0 0 1          0 1 0  4  1  3        4  3  2      574426303384672224    81.0   75.0
 11 2023.030090 3.925E-22 2.502E+00.07800.368 1360.23500.63-.005749          0 1 0          0 0 0 10  5  6        9  4  5      687520595967662423    63.0   57.0
 11 2023.182080 6.800E-26 6.132E-02.06710.391 2309.73010.61-.001659          0 0 1          0 1 0  7  1  7        7  1  6      564426305984672224    45.0   45.0
 11 2023.491580 3.188E-26 4.826E-02.08620.449 2126.40760.67-.009749          0 0 1          0 1 0  5  1  4        5  3  3      574426303384672224    81.0   75.0
 11 2023.628597 7.110E-26 1.161E+00.04050.235 2905.43300.61-.005439          0 0 1          0 1 0  7  6  2        7  6  1      464426445984672224    45.0   45.0
 11 2023.636207 2.326E-26 1.139E+00.04050.236 2905.43130.61-.005379          0 0 1          0 1 0  7  6  1        7  6  2      474426443384672224    81.0   75.0
 11 2023.638875 4.170E-29 2.166E+00.07000.333 4387.35690.570.009286          0 3 0          1 0 0  9  5  5        8  0  8      3442334432287122 8    81.0   75.0
 11 2023.803438 1.381E-29 1.062E-01.02180.298 4240.94140.51-.015602          1 0 0          0 1 0 10 10  1       10  9  2      4442334432297122 9    81.0   75.0
 11 2024.338890 3.122E-26 1.601E-02.08010.393 2129.59910.69-.004789          1 0 0          0 1 0  5  3  2        4  4  1      574426303384672224    81.0   75.0
 11 2024.389150 2.820E-25 3.738E-01.08090.418 2005.91670.69-.004569          0 0 1          0 1 0  3  3  0        4  3  1      574626305984162224     7.0    9.0
 11 2024.679846 6.944E-29 3.593E+00.05420.319 4386.31590.57-.008709          0 3 0          0 2 0  9  5  5        8  4  4      344436443284672224    81.0   75.0
 11 2024.858272 3.352E-29 4.236E-02.08120.371 3736.17070.630.001254          1 1 0          0 2 0  5  3  2        6  2  5      4442534432257122 7    81.0   75.0
 11 2024.944178 3.343E-27 2.145E-05.05960.296 1114.53130.510.005100          0 1 0          0 0 0  9  5  5       10  0 10      474426443384672224    81.0   75.0
 11 2024.955490 1.197E-29 1.664E-02.04550.265 3940.51830.44-.005424          0 0 1          0 1 0 13  3 11       12  5  8      444233443231712210    81.0   75.0
 11 2025.254457 8.544E-25 3.758E-01.08220.407 2004.81540.83-.003599          0 0 1          0 1 0  3  3  1        4  3  2      487721445910162545    21.0   27.0
 11 2025.422062 7.050E-29 3.480E-01.06340.265 3959.25220.44-.015453          0 0 1          0 1 0 12  5  8       12  5  7      4442334432297122 9    81.0   75.0
 11 2025.641215 1.308E-29 2.045E-02.05600.265 3738.54220.440.000739          0 0 1          0 1 0 13  1 12       12  3  9      444233443231712211    81.0   75.0
 11 2025.687474 2.213E-29 1.977E-02.08890.412 3438.57470.690.006151          0 3 0          0 2 0  5  4  2        4  1  3      4442334432257122 7    81.0   75.0
 11 2025.889680 6.033E-26 1.484E+00.03560.209 2733.96270.63-.005539          0 0 1          0 1 0  6  6  1        6  6  0      574426303384672224    81.0   75.0
 11 2025.890740 1.748E-25 1.434E+00.04920.202 2733.96270.63-.005529          0 0 1          0 1 0  6  6  0        6  6  1      466526445910162224    39.0   39.0
 11 2025.899510 5.308E-25 5.988E-01.08070.476 2024.15230.85-.003699          0 0 1          0 1 0  4  2  3        5  2  4      576626305910162524     9.0   11.0
 11 2025.937181 4.163E-26 1.769E-01.02500.148 2471.25500.51-.008399          0 1 0          0 0 0 10 10  0       10  9  1      374426443384672224    81.0   75.0
 11 2025.937563 1.146E-25 1.623E-01.02500.126 2471.25460.51-.008399          0 1 0          0 0 0 10 10  1       10  9  2      364526445984162224    63.0   63.0
 11 2026.002620 6.313E-25 5.584E+00.04450.249 2552.87970.64-.008049          0 2 0          0 1 0  7  6  2        6  5  1      577621305910162545    15.0   13.0
 11 2026.103883 1.231E-27 1.119E+00.08520.391 3626.92230.67-.000770          0 1 1          0 2 0  4  2  2        5  2  3      4742234433257122 7    81.0   75.0
 11 2026.120670 1.888E-24 5.566E+00.04420.243 2552.85720.65-.007939          0 2 0          0 1 0  7  6  1        6  5  2      586520305967662423    45.0   39.0
 11 2026.258666 1.852E-27 5.873E-01.09590.434 3289.24180.71-.000007          1 1 0          0 2 0  2  1  2        3  0  3      4742234433257122 7    81.0   75.0
 11 2026.351241 3.783E-28 3.493E-04.08070.391 2024.15230.670.000475          0 2 0          0 1 0  5  5  1        5  2  4      5742234433287122 8    81.0   75.0
 11 2026.602170 1.999E-22 1.011E-01.08200.413  542.90580.650.003810          0 1 0          0 0 0  7  4  4        6  1  5      688421595967662423    15.0   13.0
 11 2026.854080 2.898E-25 1.321E-02.06780.363 1538.14880.510.003670          0 1 0          0 0 0 10  6  4       10  3  7      574626305984162224    21.0   21.0
 11 2026.940980 2.080E-24 6.992E-01.09320.486 2000.86290.67-.004039          0 0 1          0 1 0  4  1  3        5  1  4      584820305984162223    27.0   33.0
 11 2027.024100 7.209E-23 3.533E-03.09020.432  224.83840.700.004310          0 1 0          0 0 0  5  4  1        4  1  4      686521595967662423    33.0   27.0
 11 2027.094519 7.770E-26 7.306E+00.01870.167 3439.30530.35-.005029          0 1 0          0 0 0 17  3 14       16  4 13      454426445984162224   105.0   99.0
 11 2027.328400 1.833E-25 5.046E-02.08670.441 1908.01630.69-.000529          1 0 0          0 1 0  3  3  0        4  2  3      564626305984162224    21.0   27.0
 11 2027.529111 1.130E-27 2.587E-01.07180.281 3535.86980.47-.013702          0 0 1          0 1 0 11  4  8       11  4  7      4742234433297122 8    81.0   75.0
 11 2027.711276 3.086E-28 3.854E-05.06720.298 1724.70470.51-.010469          0 1 0          0 0 0  9  8  2       10  5  5      574223443329712211    81.0   75.0
 11 2027.912321 2.446E-27 3.747E-05.05630.264 1293.01730.510.006280          0 1 0          0 0 0  9  6  4       10  1  9      474426443384672224    81.0   75.0
 11 2027.989770 7.310E-26 6.129E-02.05010.314 2414.72200.410.016740          0 1 0          0 0 0 13  6  7       13  3 10      554426305984672224    81.0   81.0
 11 2028.307572 2.379E-25 4.386E+00.06590.370 2998.76600.55-.006729          0 2 0          0 1 0 10  5  6        9  4  5      464526445984162224    63.0   57.0
 11 2028.328940 4.660E-25 2.758E-01.10440.505 1664.96460.72-.000269          1 0 0          0 1 0  1  1  1        2  0  2      566526305910162224     3.0    5.0
 11 2028.579408 4.861E-29 9.068E-02.07070.352 3879.33590.61-.002268          0 1 1          0 2 0  7  1  7        7  1  6      4442334432257122 7    81.0   75.0
 11 2028.811990 6.740E-26 3.234E-01.02520.172 2740.37840.47-.010479          0 1 0          0 0 0 11 10  1       11  9  2      564526305984162224    69.0   69.0
 11 2028.812010 2.192E-26 3.154E-01.02520.162 2740.37830.47-.010479          0 1 0          0 0 0 11 10  2       11  9  3      574426303384672224    81.0   75.0
 11 2028.814834 4.584E-29 9.385E-02.07320.391 3868.98680.67-.007619          1 1 0          0 2 0  6  3  4        5  4  1      4442634432257122 7    81.0   75.0
