Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Difuse_horiz-circumsolar Global_tilt_reflectd_rad Upward_reflctd_radiation
.4690E+03 .2040E+01 .1438E+01 .3040E+00 .1456E+01 .1152E+01 .4507E+00 .3200E+00 .7707E+00 .3040E+00 .1680E+00 .3220E+00
.4700E+03 .1975E+01 .1393E+01 .2925E+00 .1409E+01 .1116E+01 .4368E+00 .3093E+00 .7461E+00 .2925E+00 .1631E+00 .3126E+00
.4710E+03 .1971E+01 .1394E+01 .2906E+00 .1407E+01 .1116E+01 .4368E+00 .3087E+00 .7455E+00 .2906E+00 .1634E+00 .3133E+00
.4720E+03 .2077E+01 .1470E+01 .3045E+00 .1482E+01 .1178E+01 .4609E+00 .3249E+00 .7858E+00 .3045E+00 .1727E+00 .3312E+00
.4730E+03 .2051E+01 .1454E+01 .2989E+00 .1463E+01 .1164E+01 .4557E+00 .3204E+00 .7761E+00 .2989E+00 .1710E+00 .3280E+00
.4740E+03 .2058E+01 .1459E+01 .2978E+00 .1466E+01 .1169E+01 .4573E+00 .3208E+00 .7781E+00 .2978E+00 .1719E+00 .3298E+00
.4750E+03 .2079E+01 .1475E+01 .2987E+00 .1480E+01 .1181E+01 .4622E+00 .3234E+00 .7856E+00 .2987E+00 .1740E+00 .3340E+00
.4760E+03 .2022E+01 .1434E+01 .2882E+00 .1437E+01 .1148E+01 .4494E+00 .3135E+00 .7630E+00 .2882E+00 .1695E+00 .3253E+00
.4770E+03 .2031E+01 .1441E+01 .2874E+00 .1441E+01 .1154E+01 .4516E+00 .3143E+00 .7659E+00 .2874E+00 .1706E+00 .3275E+00
.4780E+03 .2084E+01 .1482E+01 .2938E+00 .1481E+01 .1187E+01 .4646E+00 .3227E+00 .7873E+00 .2938E+00 .1758E+00 .3375E+00
.4790E+03 .2067E+01 .1474E+01 .2904E+00 .1471E+01 .1181E+01 .4621E+00 .3203E+00 .7824E+00 .2904E+00 .1752E+00 .3364E+00
.4800E+03 .2066E+01 .1478E+01 .2889E+00 .1473E+01 .1184E+01 .4633E+00 .3204E+00 .7837E+00 .2889E+00 .1759E+00 .3379E+00
.4810E+03 .2098E+01 .1506E+01 .2928E+00 .1499E+01 .1207E+01 .4722E+00 .3261E+00 .7983E+00 .2928E+00 .1797E+00 .3454E+00
.4820E+03 .2103E+01 .1515E+01 .2927E+00 .1506E+01 .1213E+01 .4749E+00 .3276E+00 .8024E+00 .2927E+00 .1812E+00 .3482E+00
.4830E+03 .2072E+01 .1497E+01 .2876E+00 .1487E+01 .1199E+01 .4692E+00 .3233E+00 .7926E+00 .2876E+00 .1795E+00 .3450E+00
.4840E+03 .2026E+01 .1467E+01 .2802E+00 .1455E+01 .1175E+01 .4599E+00 .3165E+00 .7764E+00 .2802E+00 .1764E+00 .3391E+00
.4850E+03 .1928E+01 .1399E+01 .2654E+00 .1386E+01 .1120E+01 .4384E+00 .3012E+00 .7396E+00 .2654E+00 .1686E+00 .3241E+00
.4860E+03 .1682E+01 .1223E+01 .2307E+00 .1210E+01 .9797E+00 .3834E+00 .2632E+00 .6466E+00 .2307E+00 .1478E+00 .2842E+00
.4870E+03 .1760E+01 .1283E+01 .2405E+00 .1268E+01 .1027E+01 .4021E+00 .2757E+00 .6778E+00 .2405E+00 .1554E+00 .2988E+00
.4880E+03 .1931E+01 .1409E+01 .2624E+00 .1391E+01 .1129E+01 .4416E+00 .3023E+00 .7439E+00 .2624E+00 .1711E+00 .3291E+00
.4890E+03 .1939E+01 .1416E+01 .2619E+00 .1396E+01 .1134E+01 .4438E+00 .3033E+00 .7470E+00 .2619E+00 .1723E+00 .3315E+00
.4900E+03 .2036E+01 .1490E+01 .2741E+00 .1468E+01 .1194E+01 .4672E+00 .3189E+00 .7860E+00 .2741E+00 .1818E+00 .3499E+00
.4910E+03 .1998E+01 .1466E+01 .2679E+00 .1442E+01 .1174E+01 .4595E+00 .3133E+00 .7727E+00 .2679E+00 .1793E+00 .3450E+00
.4920E+03 .1886E+01 .1386E+01 .2517E+00 .1362E+01 .1110E+01 .4344E+00 .2958E+00 .7301E+00 .2517E+00 .1699E+00 .3270E+00
.4930E+03 .1947E+01 .1433E+01 .2586E+00 .1406E+01 .1147E+01 .4491E+00 .3054E+00 .7544E+00 .2586E+00 .1761E+00 .3390E+00
.4940E+03 .1965E+01 .1448E+01 .2597E+00 .1420E+01 .1160E+01 .4540E+00 .3083E+00 .7623E+00 .2597E+00 .1784E+00 .3435E+00
.4950E+03 .1981E+01 .1462E+01 .2606E+00 .1432E+01 .1171E+01 .4583E+00 .3108E+00 .7691E+00 .2606E+00 .1805E+00 .3477E+00
.4960E+03 .1993E+01 .1472E+01 .2607E+00 .1440E+01 .1179E+01 .4615E+00 .3126E+00 .7741E+00 .2607E+00 .1822E+00 .3510E+00
.4970E+03 .2023E+01 .1497E+01 .2634E+00 .1462E+01 .1199E+01 .4693E+00 .3175E+00 .7867E+00 .2634E+00 .1857E+00 .3578E+00
.4980E+03 .1928E+01 .1429E+01 .2498E+00 .1394E+01 .1144E+01 .4478E+00 .3025E+00 .7503E+00 .2498E+00 .1777E+00 .3423E+00
.4990E+03 .1954E+01 .1449E+01 .2517E+00 .1412E+01 .1160E+01 .4542E+00 .3064E+00 .7606E+00 .2517E+00 .1806E+00 .3480E+00
.5000E+03 .1899E+01 .1409E+01 .2431E+00 .1371E+01 .1128E+01 .4416E+00 .2975E+00 .7392E+00 .2431E+00 .1760E+00 .3393E+00
.5010E+03 .1866E+01 .1385E+01 .2394E+00 .1349E+01 .1109E+01 .4342E+00 .2934E+00 .7276E+00 .2394E+00 .1737E+00 .3342E+00
.5020E+03 .1845E+01 .1368E+01 .2346E+00 .1330E+01 .1095E+01 .4287E+00 .2890E+00 .7177E+00 .2346E+00 .1718E+00 .3306E+00
.5030E+03 .1927E+01 .1425E+01 .2425E+00 .1384E+01 .1142E+01 .4468E+00 .3006E+00 .7473E+00 .2425E+00 .1793E+00 .3452E+00
.5040E+03 .1900E+01 .1386E+01 .2328E+00 .1343E+01 .1110E+01 .4345E+00 .2909E+00 .7254E+00 .2328E+00 .1745E+00 .3360E+00
.5050E+03 .1949E+01 .1443E+01 .2423E+00 .1398E+01 .1156E+01 .4523E+00 .3033E+00 .7556E+00 .2423E+00 .1822E+00 .3508E+00
.5060E+03 .2013E+01 .1489E+01 .2483E+00 .1441E+01 .1193E+01 .4668E+00 .3125E+00 .7793E+00 .2483E+00 .1884E+00 .3628E+00
.5070E+03 .1914E+01 .1417E+01 .2349E+00 .1370E+01 .1135E+01 .4443E+00 .2971E+00 .7414E+00 .2349E+00 .1796E+00 .3460E+00
.5080E+03 .1848E+01 .1374E+01 .2267E+00 .1327E+01 .1101E+01 .4308E+00 .2879E+00 .7187E+00 .2267E+00 .1746E+00 .3363E+00
.5090E+03 .1896E+01 .1414E+01 .2321E+00 .1365E+01 .1133E+01 .4433E+00 .2961E+00 .7394E+00 .2321E+00 .1800E+00 .3468E+00
.5100E+03 .1882E+01 .1408E+01 .2298E+00 .1358E+01 .1128E+01 .4413E+00 .2945E+00 .7358E+00 .2298E+00 .1796E+00 .3460E+00
.5110E+03 .1928E+01 .1447E+01 .2351E+00 .1394E+01 .1159E+01 .4537E+00 .3026E+00 .7563E+00 .2351E+00 .1850E+00 .3565E+00
.5120E+03 .1947E+01 .1465E+01 .2366E+00 .1410E+01 .1173E+01 .4592E+00 .3059E+00 .7651E+00 .2366E+00 .1876E+00 .3616E+00
.5130E+03 .1842E+01 .1388E+01 .2230E+00 .1335E+01 .1112E+01 .4352E+00 .2897E+00 .7248E+00 .2230E+00 .1782E+00 .3434E+00
